Scenario ID;User;Assistant - Extended;Assistant - Short;Assistant - Details;Assistant - Risk ID;Assistant - Risk description;Assistant - Vulnerability ID;Assistant - Vulnerability description;Assistant - Risk occurrence type
S21;There are contingency plans that are periodically tested and evaluated to update them if necessary.;The described scenario presents no known security threats.;No;;;;;;
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M3;Flooding;V12;Untested emergency procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M4;Asynchronous attack;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M5;Trojan Horse Attack;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M5;Trojan Horse Attack;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M6;Computer virus attack;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M6;Computer virus attack;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M7;Logic bombs;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M7;Logic bombs;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M8;Lightning strike;V12;Untested emergency procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M9;Searching through the garbage;V15;Ignorance of safety procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M10;Covert storage channel;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M11;Covert timing channel;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M12;Accidental damage to media;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M13;Destruction of the CED area;V12;Untested emergency procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M14;Accidental error;V10;Incorrect input/output procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M14;Accidental error;V15;Ignorance of safety procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M14;Accidental error;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M16;Fire;V12;Untested emergency procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M17;Entering false information;V10;Incorrect input/output procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M17;Entering false information;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M21;Masking;V15;Ignorance of safety procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M21;Masking;V16;Untrained staff;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M25;Sabotage;V13;Lack of emergency procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M26;Unnoticed data theft;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M26;Unnoticed data theft;V15;Ignorance of safety procedures;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M28;Network worm;V4;Failure to periodically check the procedures installed on the system;Real
S22;There is no written procedure;The described scenario presents at least one security threat.;Yes;Users cannot refer to certain and formally approved procedures;M28;Network worm;V16;Untrained staff;Real
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M3;Flooding;V12;Untested emergency procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M4;Asynchronous attack;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M5;Trojan Horse Attack;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M5;Trojan Horse Attack;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M6;Computer virus attack;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M6;Computer virus attack;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M7;Logic bombs;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M7;Logic bombs;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M8;Lightning strike;V12;Untested emergency procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M9;Searching through the garbage;V15;Ignorance of safety procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M10;Covert storage channel;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M11;Covert timing channel;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M12;Accidental damage to media;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M13;Destruction of the CED area;V12;Untested emergency procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M14;Accidental error;V10;Incorrect input/output procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M14;Accidental error;V15;Ignorance of safety procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M14;Accidental error;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M16;Fire;V12;Untested emergency procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M17;Entering false information;V10;Incorrect input/output procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M17;Entering false information;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M21;Masking;V15;Ignorance of safety procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M21;Masking;V16;Untrained staff;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M25;Sabotage;V13;Lack of emergency procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M26;Unnoticed data theft;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M26;Unnoticed data theft;V15;Ignorance of safety procedures;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M28;Network worm;V4;Failure to periodically check the procedures installed on the system;Potential
S23;There are written procedures;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know with sufficient certainty whether users can refer to correct procedures;M28;Network worm;V16;Untrained staff;Potential
S24;All procedures relating to the use and maintenance of the system and safety measures are reported in writing, appropriately labeled and registered, stored in the appropriate safety containers and are made available to authorized personnel. These procedures are also updated where necessary;The described scenario presents no known security threats.;No;;;;;;
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M5;Trojan Horse Attack;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M6;Computer virus attack;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M7;Logic bombs;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M9;Searching through the garbage;V15;Ignorance of safety procedures;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M12;Accidental damage to media;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M14;Accidental error;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M14;Accidental error;V15;Ignorance of safety procedures;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M17;Entering false information;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M21;Masking;V16;Untrained staff;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M21;Masking;V15;Ignorance of safety procedures;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M26;Unnoticed data theft;V15;Ignorance of safety procedures;Real
S25;Staff is not trained;The described scenario presents at least one security threat.;Yes;The staff does not have adequate training;M28;Network worm;V16;Untrained staff;Real
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M5;Trojan Horse Attack;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M6;Computer virus attack;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M7;Logic bombs;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M9;Searching through the garbage;V15;Ignorance of safety procedures;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M12;Accidental damage to media;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M14;Accidental error;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M14;Accidental error;V15;Ignorance of safety procedures;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M17;Entering false information;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M21;Masking;V16;Untrained staff;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M21;Masking;V15;Ignorance of safety procedures;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M26;Unnoticed data theft;V15;Ignorance of safety procedures;Potential
S26;Staff is trained;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not possible to know whether the staff is adequately trained;M28;Network worm;V16;Untrained staff;Potential
S27;There is a plan for training and periodic updating of personnel on security threats and the correct behavior to adopt in various circumstances in the event of security incidents. Furthermore, checks are carried out on the effectiveness of the training;The described scenario presents no known security threats.;No;;;;;;
S28;The data is all contained in the same directory;The described scenario presents at least one security threat.;Yes;All staff can access all data, regardless of their classification level, qualification and need to know.;M4;Asynchronous attack;V21;Insufficient separation of logical work areas;Real
S28;The data is all contained in the same directory;The described scenario presents at least one security threat.;Yes;All staff can access all data, regardless of their classification level, qualification and need to know.;M26;Unnoticed data theft;V21;Insufficient separation of logical work areas;Real
S29;The data is separated;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;The criteria according to which the data separation is carried out are not specified;M4;Asynchronous attack;V21;Insufficient separation of logical work areas;Potential
S29;The data is separated;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;The criteria according to which the data separation is carried out are not specified;M26;Unnoticed data theft;V21;Insufficient separation of logical work areas;Potential
S30;The data is separated according to its classification level and work program. Each directory (and the files it contains) is associated with one or more users or work groups according to the mandatory access control, and can only be accessed by the corresponding users.;The described scenario presents no known security threats.;No;;;;;;
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M1;Queuing access;V19;Changing system hardware configuration;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M1;Queuing access;V22;Changing system software configuration;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M4;Asynchronous attack;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M4;Asynchronous attack;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M4;Asynchronous attack;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M5;Trojan Horse Attack;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M5;Trojan Horse Attack;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M5;Trojan Horse Attack;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M6;Computer virus attack;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M6;Computer virus attack;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M6;Computer virus attack;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M7;Logic bombs;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M7;Logic bombs;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M7;Logic bombs;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M10;Covert storage channel;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M10;Covert storage channel;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M10;Covert storage channel;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M11;Covert timing channel;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M11;Covert timing channel;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M11;Covert timing channel;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M19;Electromagnetic interference;V19;Changing system hardware configuration;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M20;Service interruption;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M20;Service interruption;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M22;Hidden access doors;V2;Uncontrolled changes to the operating system;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M22;Hidden access doors;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M22;Hidden access doors;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M23;Unconditional access procedure;V2;Uncontrolled changes to the operating system;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M23;Unconditional access procedure;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M23;Unconditional access procedure;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M26;Unnoticed data theft;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M26;Unnoticed data theft;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M27;Violation of login procedures;V2;Uncontrolled changes to the operating system;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M27;Violation of login procedures;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M27;Violation of login procedures;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M27;Violation of login procedures;V23;Unauthorized software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M28;Network worm;V3;Uncontrolled changes to the application software;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M28;Network worm;V7;Untested software applications;Real
S31;There is no log of changes made to the system;The described scenario presents at least one security threat.;Yes;It is not possible to control the changes made to the system;M28;Network worm;V23;Unauthorized software applications;Real
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M1;Queuing access;V19;Changing system hardware configuration;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M1;Queuing access;V22;Changing system software configuration;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M4;Asynchronous attack;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M4;Asynchronous attack;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M4;Asynchronous attack;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M5;Trojan Horse Attack;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M5;Trojan Horse Attack;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M5;Trojan Horse Attack;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M6;Computer virus attack;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M6;Computer virus attack;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M6;Computer virus attack;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M7;Logic bombs;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M7;Logic bombs;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M7;Logic bombs;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M10;Covert storage channel;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M10;Covert storage channel;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M10;Covert storage channel;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M11;Covert timing channel;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M11;Covert timing channel;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M11;Covert timing channel;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M19;Electromagnetic interference;V19;Changing system hardware configuration;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M20;Service interruption;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M20;Service interruption;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M22;Hidden access doors;V2;Uncontrolled changes to the operating system;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M22;Hidden access doors;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M22;Hidden access doors;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M23;Unconditional access procedure;V2;Uncontrolled changes to the operating system;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M23;Unconditional access procedure;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M23;Unconditional access procedure;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M26;Unnoticed data theft;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M26;Unnoticed data theft;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M27;Violation of login procedures;V2;Uncontrolled changes to the operating system;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M27;Violation of login procedures;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M27;Violation of login procedures;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M27;Violation of login procedures;V23;Unauthorized software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M28;Network worm;V3;Uncontrolled changes to the application software;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M28;Network worm;V7;Untested software applications;Potential
S32;There is a log of changes made to the system;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;It is not clear how changes made to the system are tracked.;M28;Network worm;V23;Unauthorized software applications;Potential
S33;There is a log of the changes made to the system that reports: the date of the change, the reason, who made the change, who authorised the change, what was changed, signature of who made the change and who authorised the change;The described scenario presents no known security threats.;No;;;;;;
S34;There is no register for access to restricted areas;The described scenario presents at least one security threat.;Yes;It is not possible to verify who has accessed the restricted areas;M5;Trojan Horse Attack;V14;Inadequate supervision;Real
S34;There is no register for access to restricted areas;The described scenario presents at least one security threat.;Yes;It is not possible to verify who has accessed the restricted areas;M6;Computer virus attack;V14;Inadequate supervision;Real
S34;There is no register for access to restricted areas;The described scenario presents at least one security threat.;Yes;It is not possible to verify who has accessed the restricted areas;M7;Logic bombs;V14;Inadequate supervision;Real
